1.9 -1038.2307069543
2.0 -1038.231481026
2.1 -1038.231286205
2.2 -1038.230887325
2.3 -1038.2306256007
2.4 -1038.2293400161
2.5 -1038.2271876254
2.6 -1038.2283037178
2.7 -1038.2299032726
2.8 -1038.2315271817
2.9 -1038.2329620157
3.0 -1038.2341127379
3.1 -1038.234975653
3.2 -1038.235519315
3.3 -1038.2357976848
3.4 -1038.2359967423
3.5 -1038.2362721119
3.6 -1038.2364228805
3.7 -1038.2364491163
3.8 -1038.236372619
3.9 -1038.2362350547
4.0 -1038.2361311829
4.1 -1038.2360844691
4.2 -1038.235956337
4.3 -1038.2357464392
4.4 -1038.2322020322
4.5 -1038.2337032937
4.6 -1038.2345703174
4.7 -1038.2349127368
4.8 -1038.2349792169
4.9 -1038.2348497874
5.0 -1038.2345242217
5.1 -1038.2340555879
5.2 -1038.2334830257
5.3 -1038.2328243898
5.4 -1038.2229481039
