1.4 -218.2119335111
1.5 -218.2091607177
1.6 -218.2013590434
1.7 -218.1758413337
1.8 -218.1907419553
1.9 -218.2042651748
2.0 -218.2150788802
2.1 -218.2230448701
2.2 -218.2317577689
2.3 -218.2324902658
2.4 -218.2377323084
2.5 -218.2420603807
2.6 -218.2455483897
2.7 -218.2481442019
2.8 -218.2498430768
2.9 -218.2508112128
3.0 -218.2512555668
3.1 -218.2513635079
3.2 -218.2512521563
3.3 -218.2510493466
3.4 -218.2508433705
3.5 -218.2506544945
3.6 -218.2505999031
3.7 -218.2506180593
3.8 -218.2507410883
3.9 -218.2508275069
4.0 -218.2508353436
