0.8 -513.2007266303
0.9 -514.3413032118
1.0 -515.0761408366
1.1 -515.5323090318
1.2 -515.8080143505
1.3 -515.9690948918
1.4 -516.0581151208
1.5 -516.1018291085
1.6 -516.1176831722
1.7 -516.1164856531
1.8 -516.1053906771
1.9 -516.0887207271
2.0 -516.0692199036
2.1 -516.048794412
2.2 -516.0284395868
2.3 -516.0088039361
2.4 -515.9903496057
2.5 -515.973270132
2.6 -515.9576250966
2.7 -515.9434945296
2.8 -515.930947861
2.9 -515.9199706641
3.0 -515.9103603164
3.1 -515.9020477946
3.2 -515.8949825649
3.3 -515.8890240892
3.4 -515.8839885526
3.5 -515.884822475
3.6 -515.8810913272
3.7 -515.8778241512
3.8 -515.874944552
3.9 -515.8723955075
4.0 -515.8701355528
4.1 -515.8681368612
4.2 -515.865621735
