1.4 -317.4427464563
1.5 -317.4406957573
1.6 -317.4335739174
1.7 -317.4073792139
1.8 -317.4232671024
1.9 -317.4371451125
2.0 -317.4479823103
2.1 -317.4561006237
2.2 -317.461596704
2.3 -317.46648374
2.4 -317.4700961836
2.5 -317.4730276382
2.6 -317.4753523287
2.7 -317.4773495863
2.8 -317.4789863508
2.9 -317.4803079872
3.0 -317.4813266257
3.1 -317.4820981011
3.2 -317.4826251602
3.3 -317.4829325715
3.4 -317.4830744971
3.5 -317.482975018
3.6 -317.4826724409
3.7 -317.4821817558
3.8 -317.4815574704
3.9 -317.4378411278
4.0 -317.4357815282
