2.1 -2692.2564978518
2.2 -2692.2714926499
2.3 -2692.2835138383
2.4 -2692.2932452794
2.5 -2692.295684129
2.6 -2692.3015193397
2.7 -2692.3059639073
2.8 -2692.3095680246
2.9 -2692.3125979827
3.0 -2692.3148302799
3.1 -2692.3162670354
3.2 -2692.3174533955
3.3 -2692.3181840579
3.4 -2692.3190044883
3.5 -2692.319645312
3.6 -2692.3201075085
3.7 -2692.3204289349
3.8 -2692.3206343812
3.9 -2692.3207924661
4.0 -2692.3216708128
4.1 -2692.3216296553
4.2 -2692.3215593755
4.3 -2692.3215065293
4.4 -2692.3214358174
4.5 -2692.3213871057
4.6 -2692.3213381436
4.7 -2692.3207260773
4.8 -2692.320758187
4.9 -2692.3207940788
5.0 -2692.3208096344
5.1 -2692.3208069449
5.2 -2692.320795829
5.3 -2692.3207953755
5.4 -2692.3208038959
5.5 -2692.32082058
5.6 -2692.3208398138
5.7 -2692.3208552381
