0.9 -5262.8718609423
1.0 -5263.9029986007
1.1 -5264.5754999189
1.2 -5265.0103785957
1.3 -5265.2886456212
1.4 -5265.4654695206
1.5 -5265.5756678878
1.6 -5265.6431305531
1.7 -5265.6820423045
1.8 -5265.7030318523
1.9 -5265.7123016466
2.0 -5265.7139175015
2.1 -5265.7112004313
2.2 -5265.7055782903
2.3 -5265.6982683315
2.4 -5265.6902898211
2.5 -5265.6819794531
2.6 -5265.673584088
2.7 -5265.6653830133
2.8 -5265.6575167753
2.9 -5265.6500612161
3.0 -5265.6430696982
3.1 -5265.6365547461
3.2 -5265.6304974806
3.3 -5265.6248588167
3.4 -5265.6196072578
3.5 -5265.6147516473
3.6 -5265.6102846796
3.7 -5265.6061951727
3.8 -5265.6024649829
3.9 -5265.5990671517
4.0 -5265.5959591365
4.1 -5265.593113744
4.2 -5265.5905277694
4.3 -5265.5881916107
4.4 -5265.5860814718
4.5 -5265.584180179
4.6 -5265.5824624343
4.7 -5265.5839694081
