2.2 -5265.5539474882
2.3 -5265.5644791374
2.4 -5265.572840643
2.5 -5265.5802710424
2.6 -5265.5860138119
2.7 -5265.5905225606
2.8 -5265.5940166984
2.9 -5265.5966666474
3.0 -5265.5986252167
3.1 -5265.5992923728
3.2 -5265.6004244178
3.3 -5265.6006937515
3.4 -5265.6013363454
3.5 -5265.6017766581
3.6 -5265.6020853872
3.7 -5265.6022480959
3.8 -5265.602426856
3.9 -5265.6025505449
4.0 -5265.6029477033
4.1 -5265.6029613245
4.2 -5265.602960196
4.3 -5265.6029531399
4.4 -5265.6029472487
4.5 -5265.6029401998
4.6 -5265.6029272485
4.7 -5265.6028930641
4.8 -5265.6028604865
4.9 -5265.6027943811
5.0 -5265.6027864745
5.1 -5265.6027792312
5.2 -5265.6027769133
5.3 -5265.6027773475
5.4 -5265.6027472136
5.5 -5265.602757899
5.6 -5265.6027641768
5.7 -5265.6027637631
