0.9 -1036.4080514976
1.0 -1037.1713025997
1.1 -1037.6471314902
1.2 -1037.9404180178
1.3 -1038.1192787803
1.4 -1038.2263738568
1.5 -1038.288143507
1.6 -1038.3215085842
1.7 -1038.3369968058
1.8 -1038.3415658374
1.9 -1038.3394303103
2.0 -1038.3334043118
2.1 -1038.3253353121
2.2 -1038.3162168281
2.3 -1038.3067544107
2.4 -1038.2973806072
2.5 -1038.2882850127
2.6 -1038.2795796856
2.7 -1038.271353768
2.8 -1038.2636437263
2.9 -1038.2564435264
3.0 -1038.249734442
3.1 -1038.2435056851
3.2 -1038.2377445288
3.3 -1038.2324495607
3.4 -1038.2276516255
3.5 -1038.2232931555
3.6 -1038.219319979
3.7 -1038.2157110183
3.8 -1038.2125143548
3.9 -1038.2097216009
4.0 -1038.2072458698
