1.9 -1038.2343187442
2.0 -1038.2352911908
2.1 -1038.235412511
2.2 -1038.2352192791
2.3 -1038.2348393367
2.4 -1038.2343976926
2.5 -1038.2338093885
2.6 -1038.2330168838
2.7 -1038.2276476441
2.8 -1038.2282697715
2.9 -1038.2289659956
3.0 -1038.2295722139
3.1 -1038.2292825761
3.2 -1038.2299830374
3.3 -1038.2305515866
3.4 -1038.2311559565
3.5 -1038.2314724427
3.6 -1038.2316020767
3.7 -1038.2317050964
3.8 -1038.2317056267
3.9 -1038.2316171387
4.0 -1038.2314895055
4.1 -1038.2313559204
4.2 -1038.2312237101
4.3 -1038.2311081332
4.4 -1038.2309531014
4.5 -1038.2307589664
4.6 -1038.2308153556
4.7 -1038.2307610965
4.8 -1038.2305940531
4.9 -1038.2303160397
5.0 -1038.2300059556
5.1 -1038.2295126595
5.2 -1038.2288717264
5.3 -1038.2282713012
5.4 -1038.2275699557
